"","age","animal.id","MouseID","Sex","Genotype","values","assay","experiment.date","gram.values","gest.age","postnatal"
"27",107,26277,"985","F","-/-",33600,"Body Weight",2021-03-30,33.6,22.5,"y"
"28",109,26277,"985","F","-/-",24600,"Body Weight",2021-04-01,24.6,24.5,"y"
"29",114,26277,"985","F","-/-",27200,"Body Weight",2021-04-06,27.2,29.5,"y"
"30",121,26277,"985","F","-/-",29500,"Body Weight",2021-04-13,29.5,36.6,"y"
"31",124,26277,"985","F","-/-",28600,"Body Weight",2021-04-16,28.6,39.5,"y"
"32",76,26287,"995","F","-/-",21200,"Body Weight",2021-03-08,21.2,-3.5,"n"
"33",84,26287,"995","F","-/-",21200,"Body Weight",2021-03-16,21.2,5.5,"n"
"34",91,26287,"995","F","-/-",26400,"Body Weight",2021-03-23,26.4,12.5,"n"
"35",98,26287,"995","F","-/-",35800,"Body Weight",2021-03-30,35.8,19.5,"n"
"36",100,26287,"995","F","-/-",24800,"Body Weight",2021-04-01,24.8,21.5,"y"
"37",105,26287,"995","F","-/-",27800,"Body Weight",2021-04-06,27.8,26.5,"y"
"38",112,26287,"995","F","-/-",29000,"Body Weight",2021-04-13,29,33.5,"y"
"39",115,26287,"995","F","-/-",29300,"Body Weight",2021-04-16,29.3,36.5,"y"
"40",76,26288,"996","F","-/-",23900,"Body Weight",2021-03-08,23.9,-4.5,"n"
"41",84,26288,"996","F","-/-",23900,"Body Weight",2021-03-16,23.9,4.5,"n"
"42",91,26288,"996","F","-/-",30500,"Body Weight",2021-03-23,30.5,11.5,"n"
"43",98,26288,"996","F","-/-",28200,"Body Weight",2021-03-30,28.2,18.5,"y"
"44",100,26288,"996","F","-/-",29400,"Body Weight",2021-04-01,29.4,20.5,"y"
"45",105,26288,"996","F","-/-",28200,"Body Weight",2021-04-06,28.2,25.5,"y"
"46",112,26288,"996","F","-/-",30100,"Body Weight",2021-04-13,30.1,33.5,"y"
"47",113,26288,"996","F","-/-",30500,"Body Weight",2021-04-14,30.5,34.5,"y"
