ID,cohort,treatment,pregnancy,body.weight,date,gest.age,week
7833,1,eTRF,1,26.5,2019-05-06,15,5.71
7833,1,eTRF,1,23.3,2019-05-01,10,5
7833,1,eTRF,1,21.5,2019-04-17,-4,3
7834,1,AL,2,24.3,2019-05-03,4,5.3
7834,1,AL,2,28.8,2019-05-01,2,5
7834,1,AL,2,30.6,2019-05-12,13,NA
7834,1,AL,2,26.7,2019-05-08,8,6
7834,1,AL,2,27.7,2019-05-18,18,NA
7834,1,AL,2,36.6,2019-05-15,15,NA
7834,1,AL,2,26.4,2019-04-24,-6,4
7835,1,eTRF,1,23.5,2019-04-24,1,4
7835,1,eTRF,1,22.8,2019-04-03,8,1
7835,1,eTRF,1,23.8,2019-05-15,21,NA
7835,1,eTRF,1,38.5,2019-05-08,14,6
7835,1,eTRF,1,26.5,2019-05-12,18,NA
7835,1,eTRF,1,26.9,2019-05-01,7,5
7835,1,eTRF,1,28.4,2019-05-03,16,5.3
7835,1,eTRF,1,29,2019-05-10,16,NA
7838,1,eTRF,2,37.9,2019-05-15,14,NA
7838,1,eTRF,2,25.2,2019-05-03,2,5.3
7838,1,eTRF,2,33.9,2019-05-12,11,NA
7838,1,eTRF,2,27.4,2019-05-08,7,6
7838,1,eTRF,2,25.1,2019-05-01,-1,5
7838,1,eTRF,2,27.4,2019-05-19,18,NA
7841,1,eTRF,2,23.8,2019-04-24,-1,4
7841,1,eTRF,2,24.7,2019-05-03,8,5.3
7841,1,eTRF,2,28.4,2019-05-16,21,NA
7841,1,eTRF,2,25.1,2019-05-01,6,5
7841,1,eTRF,2,34.9,2019-05-12,17,NA
7841,1,eTRF,2,28.2,2019-05-08,13,6
7841,1,eTRF,2,39.5,2019-05-15,20,NA
7843,1,AL,2,29.4,2019-05-08,12,6
7843,1,AL,2,33.4,2019-05-15,19,NA
7843,1,AL,2,25.8,2019-05-01,5,5
7843,1,AL,2,25,2019-05-03,7,5.3
7843,1,AL,2,34.9,2019-05-12,16,NA
7843,1,AL,2,24.3,2019-04-24,-2,4
7862,1,eTRF,2,22.9,2019-04-24,3,4
7862,1,eTRF,2,29.5,2019-05-08,12,6
7862,1,eTRF,2,27.1,2019-05-03,7,5.3
7862,1,eTRF,2,30.9,2019-05-17,21,NA
7862,1,eTRF,2,44.8,2019-05-15,19,NA
7862,1,eTRF,2,24.1,2019-05-01,6,5
7862,1,eTRF,2,38.2,2019-05-12,16,NA
7863,1,AL,2,37.3,2019-05-15,17,NA
7863,1,AL,2,31.7,2019-05-03,6,5.3
7863,1,AL,2,27.9,2019-05-08,10,6
7863,1,AL,2,32.3,2019-05-12,14,NA
7863,1,AL,2,27.2,2019-05-17,19,NA
7863,1,AL,2,23.4,2019-04-24,-4,4
7863,1,AL,2,25.9,2019-05-01,4,5
7864,1,eTRF,1,20.8,2019-04-17,2,3
7864,1,eTRF,1,23.6,2019-04-24,8,4
7864,1,eTRF,1,28,2019-05-06,20,5.71
7864,1,eTRF,1,32.4,2019-05-03,17,5.3
7864,1,eTRF,1,21.2,2019-04-10,-6,2
7864,1,eTRF,1,29.8,2019-05-01,15,5
