ID,age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date,treatment,dam,cohort,gram.values
454,136,25741,454,F,+/+,25100,Body Weight,2021-01-12,eTRF,134,2,25.1
454,136,25741,454,F,+/+,4710,Total Fat Mass,2021-01-12,eTRF,134,2,4.71
454,136,25741,454,F,+/+,18010,Lean Mass,2021-01-12,eTRF,134,2,18.01
454,143,25741,454,F,+/+,26900,Body Weight,2021-01-19,eTRF,134,2,26.9
454,143,25741,454,F,+/+,5790,Total Fat Mass,2021-01-19,eTRF,134,2,5.79
454,143,25741,454,F,+/+,18430,Lean Mass,2021-01-19,eTRF,134,2,18.43
454,150,25741,454,F,+/+,28000,Body Weight,2021-01-26,eTRF,134,2,28
454,150,25741,454,F,+/+,6990,Total Fat Mass,2021-01-26,eTRF,134,2,6.99
454,150,25741,454,F,+/+,18730,Lean Mass,2021-01-26,eTRF,134,2,18.73
454,157,25741,454,F,+/+,26100,Body Weight,2021-02-02,eTRF,134,2,26.1
454,157,25741,454,F,+/+,5550,Total Fat Mass,2021-02-02,eTRF,134,2,5.55
454,157,25741,454,F,+/+,18310,Lean Mass,2021-02-02,eTRF,134,2,18.31
454,164,25741,454,F,+/+,7090,Total Fat Mass,2021-02-09,eTRF,134,2,7.09
454,164,25741,454,F,+/+,18980,Lean Mass,2021-02-09,eTRF,134,2,18.98
455,25,25742,455,F,+/+,9800,Body Weight,2020-09-23,eTRF,134,2,9.8
455,25,25742,455,F,+/+,850,Total Fat Mass,2020-09-23,eTRF,134,2,0.85
455,25,25742,455,F,+/+,8220,Lean Mass,2020-09-23,eTRF,134,2,8.22
455,21,25742,455,F,+/+,8800,Body Weight,2020-09-19,eTRF,134,2,8.8
455,21,25742,455,F,+/+,570,Total Fat Mass,2020-09-19,eTRF,134,2,0.57
455,21,25742,455,F,+/+,7030,Lean Mass,2020-09-19,eTRF,134,2,7.03
455,32,25742,455,F,+/+,14600,Body Weight,2020-09-30,eTRF,134,2,14.6
455,32,25742,455,F,+/+,1290,Total Fat Mass,2020-09-30,eTRF,134,2,1.29
455,32,25742,455,F,+/+,12140,Lean Mass,2020-09-30,eTRF,134,2,12.14
455,39,25742,455,F,+/+,16500,Body Weight,2020-10-07,eTRF,134,2,16.5
455,39,25742,455,F,+/+,1360,Total Fat Mass,2020-10-07,eTRF,134,2,1.36
455,39,25742,455,F,+/+,13360,Lean Mass,2020-10-07,eTRF,134,2,13.36
455,46,25742,455,F,+/+,17400,Body Weight,2020-10-14,eTRF,134,2,17.4
455,46,25742,455,F,+/+,1470,Total Fat Mass,2020-10-14,eTRF,134,2,1.47
455,46,25742,455,F,+/+,14110,Lean Mass,2020-10-14,eTRF,134,2,14.11
455,53,25742,455,F,+/+,19000,Body Weight,2020-10-21,eTRF,134,2,19
455,53,25742,455,F,+/+,1790,Total Fat Mass,2020-10-21,eTRF,134,2,1.79
455,53,25742,455,F,+/+,15370,Lean Mass,2020-10-21,eTRF,134,2,15.37
455,60,25742,455,F,+/+,19600,Body Weight,2020-10-28,eTRF,134,2,19.6
455,60,25742,455,F,+/+,1930,Total Fat Mass,2020-10-28,eTRF,134,2,1.93
455,60,25742,455,F,+/+,15790,Lean Mass,2020-10-28,eTRF,134,2,15.79
455,67,25742,455,F,+/+,20000,Body Weight,2020-11-04,eTRF,134,2,20
455,67,25742,455,F,+/+,2340,Total Fat Mass,2020-11-04,eTRF,134,2,2.34
455,67,25742,455,F,+/+,15980,Lean Mass,2020-11-04,eTRF,134,2,15.98
455,74,25742,455,F,+/+,21000,Body Weight,2020-11-11,eTRF,134,2,21
455,74,25742,455,F,+/+,1790,Total Fat Mass,2020-11-11,eTRF,134,2,1.79
455,74,25742,455,F,+/+,17060,Lean Mass,2020-11-11,eTRF,134,2,17.06
455,81,25742,455,F,+/+,21600,Body Weight,2020-11-18,eTRF,134,2,21.6
455,81,25742,455,F,+/+,3110,Total Fat Mass,2020-11-18,eTRF,134,2,3.11
455,81,25742,455,F,+/+,16770,Lean Mass,2020-11-18,eTRF,134,2,16.77
455,88,25742,455,F,+/+,22000,Body Weight,2020-11-25,eTRF,134,2,22
455,88,25742,455,F,+/+,2100,Total Fat Mass,2020-11-25,eTRF,134,2,2.1
455,88,25742,455,F,+/+,18390,Lean Mass,2020-11-25,eTRF,134,2,18.39
455,95,25742,455,F,+/+,24100,Body Weight,2020-12-02,eTRF,134,2,24.1
455,95,25742,455,F,+/+,4450,Total Fat Mass,2020-12-02,eTRF,134,2,4.45
455,95,25742,455,F,+/+,18170,Lean Mass,2020-12-02,eTRF,134,2,18.17
455,102,25742,455,F,+/+,24100,Body Weight,2020-12-09,eTRF,134,2,24.1
455,102,25742,455,F,+/+,4120,Total Fat Mass,2020-12-09,eTRF,134,2,4.12
455,102,25742,455,F,+/+,17580,Lean Mass,2020-12-09,eTRF,134,2,17.58
455,109,25742,455,F,+/+,25000,Body Weight,2020-12-16,eTRF,134,2,25
455,109,25742,455,F,+/+,5070,Total Fat Mass,2020-12-16,eTRF,134,2,5.07
455,109,25742,455,F,+/+,17770,Lean Mass,2020-12-16,eTRF,134,2,17.77
455,116,25742,455,F,+/+,28700,Body Weight,2020-12-23,eTRF,134,2,28.7
455,116,25742,455,F,+/+,6700,Total Fat Mass,2020-12-23,eTRF,134,2,6.7
455,116,25742,455,F,+/+,19500,Lean Mass,2020-12-23,eTRF,134,2,19.5
455,128,25742,455,F,+/+,26000,Body Weight,2021-01-04,eTRF,134,2,26
455,128,25742,455,F,+/+,5430,Total Fat Mass,2021-01-04,eTRF,134,2,5.43
455,128,25742,455,F,+/+,17820,Lean Mass,2021-01-04,eTRF,134,2,17.82
455,136,25742,455,F,+/+,29200,Body Weight,2021-01-12,eTRF,134,2,29.2
455,136,25742,455,F,+/+,6950,Total Fat Mass,2021-01-12,eTRF,134,2,6.95
455,136,25742,455,F,+/+,19840,Lean Mass,2021-01-12,eTRF,134,2,19.84
455,143,25742,455,F,+/+,30700,Body Weight,2021-01-19,eTRF,134,2,30.7
