cage,# in cage,week,IDs,start,end,date,notes,diet,cohort,food.consumed,kcals.consumed,food.cumulative,treatment,sex
2011,4,4,"8595, 8598, 8599, 8594",390.1,287.6,6/17-6/24,NA,NCD,1,3.6607142857142856,10.652678571428572,37.746857142857145,eTRF,female
2011,4,10,"8595, 8598, 8599, 8594",308.3,52.1,7/29-8/5,chewer,HFD,1,9.15,43.279500000000006,204.89332142857145,eTRF,female
2011,4,3,"8595, 8598, 8599, 8594",364.4,271,6/10-6/17,NA,NCD,1,3.335714285714285,9.70692857142857,27.09417857142857,eTRF,female
2011,4,19,"8595, 8598, 8599, 8594",315.7,242.5,9/30-10/7,NA,HFD,1,2.614285714285714,12.365571428571428,409.85435714285717,eTRF,female
2011,4,12,"8595, 8598, 8599, 8594",250.6,16.7,8/12-8/19,chewer,HFD,1,8.35357142857143,39.51239285714286,289.01975,eTRF,female
2011,4,13,"8595, 8598, 8599, 8594",284.2,71.9,8/19-8/26,chewer,HFD,1,7.582142857142856,35.86353571428572,324.8832857142857,eTRF,female
2011,4,15,"8595, 8598, 8599, 8594",380,322.4,9/3-9/9,chewer,HFD,1,2.057142857142858,9.730285714285719,357.90882142857146,eTRF,female
2011,4,16,"8595, 8598, 8599, 8594",322.4,255.2,9/9-9/16,chewer,HFD,1,2.3999999999999995,11.351999999999999,369.26082142857143,eTRF,female
2011,4,23,"8595, 8598, 8599, 8594",246.7,236.4,10/28-10/30,NA,HFD,1,0.36785714285714227,1.7399642857142832,444.2482142857143,eTRF,female
2011,4,6,"8595, 8598, 8599, 8594",359,152,7/1-7/8,chewer,NCD,1,7.392857142857143,21.513214285714287,70.56750000000001,eTRF,female
2011,4,5,"8595, 8598, 8599, 8594",336.6,227.8,6/24-7/1,NA,NCD,1,3.885714285714286,11.307428571428574,49.05428571428572,eTRF,female
2011,4,21,"8595, 8598, 8599, 8594",306.2,237.3,10/14-10/21,NA,HFD,1,2.460714285714285,11.63917857142857,431.98400000000004,eTRF,female
2011,4,17,"8595, 8598, 8599, 8594",348.3,262.1,9/16-9/23,chewer,HFD,1,3.0785714285714283,14.561642857142857,383.8224642857143,eTRF,female
2011,4,1,"8595, 8598, 8599, 8594",371.6,314.4,5/27-6/2,NA,NCD,1,2.0428571428571445,5.944714285714291,5.944714285714291,eTRF,female
