sex,ID,cage,treatment,cohort,week,Body Weight,Total Fat Mass,Lean Mass,Free Water,"NA"
male,8592,2010,eTRF,1,1,14.1,1.175,11.34,0.21500000000000002,NA
male,8592,2010,eTRF,1,8,26.2,1.64,23.02,0.06,NA
male,8592,2010,eTRF,1,20,48.6,19.87,26.2,NA,NA
male,8593,2010,eTRF,1,1,11.35,0.77,9.219999999999999,0.06,NA
male,8593,2010,eTRF,1,8,22.6,0.95,20.04,0.09,NA
male,8593,2010,eTRF,1,20,38.3,12.03,23.62,NA,NA
female,8598,2011,eTRF,1,1,7.15,0.405,5.79,0.53,NA
female,8598,2011,eTRF,1,8,17.7,1.57,14.6,0.35,NA
female,8598,2011,eTRF,1,20,25.5,6.7,17.48,NA,NA
female,8599,2011,eTRF,1,1,8.55,0.55,6.845000000000001,0.04,NA
female,8599,2011,eTRF,1,8,20.2,2.17,16.11,0.48,NA
female,8599,2011,eTRF,1,20,32,11.82,18.5,NA,NA
female,8594,2011,eTRF,1,1,12.65,1.145,9.965,0,NA
female,8594,2011,eTRF,1,8,21,1.92,16.97,0.26,NA
female,8594,2011,eTRF,1,20,33,11.28,19.63,NA,NA
female,8595,2011,eTRF,1,1,12.75,1.075,10.030000000000001,0.035,NA
female,8595,2011,eTRF,1,8,21.1,2.17,17.17,0.11,NA
female,8595,2011,eTRF,1,20,34.1,10.2,21.74,NA,NA
male,8665,2015,AL,1,1,14.35,1.11,12.095,0.23500000000000001,NA
male,8665,2015,AL,1,8,28.1,1.04,24.62,0.36,NA
male,8665,2015,AL,1,20,47.2,17.57,27.61,NA,NA
male,8666,2015,AL,1,1,13.75,1.1,11.335,0.2,NA
male,8666,2015,AL,1,8,24.2,1.9,20.81,0.45,NA
male,8666,2015,AL,1,20,47.1,20.34,25.26,NA,NA
female,8667,2014,AL,1,1,12.45,0.905,9.11,0.28500000000000003,NA
female,8667,2014,AL,1,8,20.1,1.82,16.82,0.29,NA
female,8667,2014,AL,1,20,29.9,8.8,19.58,NA,NA
female,8668,2014,AL,1,1,10.05,1.23,8.295,0.41000000000000003,NA
female,8668,2014,AL,1,8,14.8,1.44,12.22,0.26,NA
female,8668,2014,AL,1,20,30.9,9.74,19.45,NA,NA
female,8671,2038,AL,1,1,9,1.01,4.085,NA,NA
male,8669,2037,AL,1,1,14.533333333333333,1.3866666666666667,12.066666666666666,0.7233333333333333,NA
male,8669,2037,AL,1,8,27.2,1.19,24.13,0.12,NA
