ID,time,glucose,cage,dam,sex,treatment,cohort
466,45,324,FE-1,124,female,eTRF,2
466,60,259,FE-1,124,female,eTRF,2
466,75,216,FE-1,124,female,eTRF,2
466,90,212,FE-1,124,female,eTRF,2
466,105,204,FE-1,124,female,eTRF,2
466,120,185,FE-1,124,female,eTRF,2
467,0,164,FE-1,124,female,eTRF,2
467,15,434,FE-1,124,female,eTRF,2
467,30,257,FE-1,124,female,eTRF,2
467,45,226,FE-1,124,female,eTRF,2
467,60,233,FE-1,124,female,eTRF,2
467,75,222,FE-1,124,female,eTRF,2
467,90,191,FE-1,124,female,eTRF,2
467,105,178,FE-1,124,female,eTRF,2
467,120,167,FE-1,124,female,eTRF,2
464,0,217,ME-1,124,male,eTRF,2
464,15,390,ME-1,124,male,eTRF,2
464,30,366,ME-1,124,male,eTRF,2
464,45,247,ME-1,124,male,eTRF,2
464,60,266,ME-1,124,male,eTRF,2
464,75,228,ME-1,124,male,eTRF,2
464,90,198,ME-1,124,male,eTRF,2
464,105,213,ME-1,124,male,eTRF,2
464,120,194,ME-1,124,male,eTRF,2
465,0,209,ME-1,124,male,eTRF,2
465,15,340,ME-1,124,male,eTRF,2
465,30,279,ME-1,124,male,eTRF,2
465,45,235,ME-1,124,male,eTRF,2
465,60,216,ME-1,124,male,eTRF,2
465,75,221,ME-1,124,male,eTRF,2
465,90,218,ME-1,124,male,eTRF,2
465,105,214,ME-1,124,male,eTRF,2
465,120,178,ME-1,124,male,eTRF,2
456,0,187,MA-1,128,male,AL,2
456,15,478,MA-1,128,male,AL,2
456,30,389,MA-1,128,male,AL,2
456,45,258,MA-1,128,male,AL,2
456,60,226,MA-1,128,male,AL,2
456,75,230,MA-1,128,male,AL,2
456,90,204,MA-1,128,male,AL,2
456,105,169,MA-1,128,male,AL,2
456,120,215,MA-1,128,male,AL,2
460,0,173,MA-1,146,male,AL,2
460,15,284,MA-1,146,male,AL,2
460,30,365,MA-1,146,male,AL,2
460,45,207,MA-1,146,male,AL,2
460,60,224,MA-1,146,male,AL,2
460,75,204,MA-1,146,male,AL,2
460,90,198,MA-1,146,male,AL,2
460,105,238,MA-1,146,male,AL,2
460,120,186,MA-1,146,male,AL,2
461,0,180,MA-1,146,male,AL,2
461,15,411,MA-1,146,male,AL,2
461,30,281,MA-1,146,male,AL,2
461,45,243,MA-1,146,male,AL,2
461,60,207,MA-1,146,male,AL,2
461,75,173,MA-1,146,male,AL,2
461,90,223,MA-1,146,male,AL,2
461,105,172,MA-1,146,male,AL,2
461,120,176,MA-1,146,male,AL,2
452,0,117,ME-2,134,male,eTRF,2
452,15,317,ME-2,134,male,eTRF,2
452,30,289,ME-2,134,male,eTRF,2
452,45,258,ME-2,134,male,eTRF,2
452,60,245,ME-2,134,male,eTRF,2
452,75,229,ME-2,134,male,eTRF,2
452,90,194,ME-2,134,male,eTRF,2
452,105,176,ME-2,134,male,eTRF,2
452,120,163,ME-2,134,male,eTRF,2
453,0,178,ME-2,134,male,eTRF,2
453,15,382,ME-2,134,male,eTRF,2
453,30,301,ME-2,134,male,eTRF,2
453,45,269,ME-2,134,male,eTRF,2
453,60,286,ME-2,134,male,eTRF,2
453,75,236,ME-2,134,male,eTRF,2
453,90,217,ME-2,134,male,eTRF,2
453,105,210,ME-2,134,male,eTRF,2
453,120,201,ME-2,134,male,eTRF,2
472,0,221,MA-2,123,male,AL,2
472,15,489,MA-2,123,male,AL,2
472,30,312,MA-2,123,male,AL,2
472,45,314,MA-2,123,male,AL,2
472,60,332,MA-2,123,male,AL,2
472,75,254,MA-2,123,male,AL,2
