ID,treatment,pregnancy,cohort,time,glucose,dose.weight
7829,AL,1,1,30,161,26.2
7830,AL,1,1,120,198,31.8
7830,AL,1,1,105,162,31.8
7830,AL,1,1,0,191,31.8
7830,AL,1,1,75,164,31.8
7830,AL,1,1,90,167,31.8
7830,AL,1,1,15,145,31.8
7830,AL,1,1,30,140,31.8
7830,AL,1,1,60,163,31.8
7830,AL,1,1,45,151,31.8
7833,eTRF,1,1,120,156,23.3
7833,eTRF,1,1,15,128,23.3
7833,eTRF,1,1,30,113,23.3
7833,eTRF,1,1,105,160,23.3
7833,eTRF,1,1,0,125,23.3
7833,eTRF,1,1,60,148,23.3
7833,eTRF,1,1,75,170,23.3
7833,eTRF,1,1,90,161,23.3
7833,eTRF,1,1,45,141,23.3
7864,eTRF,1,1,15,118,29.8
7864,eTRF,1,1,45,124,29.8
7864,eTRF,1,1,60,133,29.8
7864,eTRF,1,1,75,142,29.8
7864,eTRF,1,1,120,149,29.8
7864,eTRF,1,1,30,122,29.8
7864,eTRF,1,1,90,135,29.8
7864,eTRF,1,1,105,151,29.8
7864,eTRF,1,1,0,179,29.8
