ID,treatment,pregnancy,cohort,gave.birth,date,estrus.stage,estrous.num
122,AL,1,2,no,2020-07-27,M,1
122,AL,1,2,no,2020-07-18,D,1
122,AL,1,2,no,2020-07-02,P,2
122,AL,1,2,no,2020-07-28,M,1
122,AL,1,2,no,2020-08-06,E,3
122,AL,1,2,no,2020-08-04,D,1
122,AL,1,2,no,2020-07-21,D,1
122,AL,1,2,no,2020-07-03,E,3
122,AL,1,2,no,2020-08-01,M,1
122,AL,1,2,no,2020-07-16,P,2
122,AL,1,2,no,2020-07-06,D,1
122,AL,1,2,no,2020-07-15,M,1
122,AL,1,2,no,2020-07-07,P,2
122,AL,1,2,no,2020-07-22,M,1
122,AL,1,2,no,2020-07-05,E,3
122,AL,1,2,no,2020-08-10,P,2
122,AL,1,2,no,2020-07-19,P,2
122,AL,1,2,no,2020-07-17,E,3
122,AL,1,2,no,2020-07-14,E,3
122,AL,1,2,no,2020-07-08,P,2
122,AL,1,2,no,2020-08-08,D,1
123,AL,1,2,yes,2020-07-01,P,2
123,AL,1,2,yes,2020-08-10,E,3
123,AL,1,2,yes,2020-07-31,M,1
123,AL,1,2,yes,2020-07-19,E,3
123,AL,1,2,yes,2020-07-03,M,1
123,AL,1,2,yes,2020-08-06,M,1
123,AL,1,2,yes,2020-06-30,D,1
123,AL,1,2,yes,2020-07-26,M,1
123,AL,1,2,yes,2020-07-30,E,3
123,AL,1,2,yes,2020-07-25,E,3
123,AL,1,2,yes,2020-07-05,E,3
123,AL,1,2,yes,2020-07-24,E,3
123,AL,1,2,yes,2020-07-22,M,1
123,AL,1,2,yes,2020-07-04,D,1
123,AL,1,2,yes,2020-07-23,D,1
123,AL,1,2,yes,2020-08-03,E,3
123,AL,1,2,yes,2020-07-29,E,3
123,AL,1,2,yes,2020-07-06,D,1
123,AL,1,2,yes,2020-07-14,P,2
123,AL,1,2,yes,2020-07-17,D,1
123,AL,1,2,yes,2020-07-21,E,3
123,AL,1,2,yes,2020-08-09,M,1
123,AL,1,2,yes,2020-08-02,P,2
123,AL,1,2,yes,2020-07-07,P,2
123,AL,1,2,yes,2020-07-08,E,3
123,AL,1,2,yes,2020-08-01,D,1
123,AL,1,2,yes,2020-08-05,D,1
123,AL,1,2,yes,2020-07-28,P,2
123,AL,1,2,yes,2020-07-15,E,3
123,AL,1,2,yes,2020-07-18,P,2
123,AL,1,2,yes,2020-08-04,M,1
123,AL,1,2,yes,2020-07-02,E,3
123,AL,1,2,yes,2020-07-27,D,1
123,AL,1,2,yes,2020-07-16,E,3
123,AL,1,2,yes,2020-08-08,M,1
123,AL,1,2,yes,2020-08-07,E,3
123,AL,1,2,yes,2020-07-20,E,3
124,eTRF,1,2,yes,2020-08-07,D,1
124,eTRF,1,2,yes,2020-06-30,E,3
124,eTRF,1,2,yes,2020-07-22,D,1
124,eTRF,1,2,yes,2020-07-21,D,1
124,eTRF,1,2,yes,2020-08-06,D,1
124,eTRF,1,2,yes,2020-07-08,P,2
124,eTRF,1,2,yes,2020-07-17,E,3
124,eTRF,1,2,yes,2020-07-01,M,1
124,eTRF,1,2,yes,2020-07-02,E,3
124,eTRF,1,2,yes,2020-07-23,D,1
124,eTRF,1,2,yes,2020-07-24,P,2
124,eTRF,1,2,yes,2020-07-06,D,1
124,eTRF,1,2,yes,2020-07-18,M,1
124,eTRF,1,2,yes,2020-07-16,P,2
124,eTRF,1,2,yes,2020-07-19,E,3
124,eTRF,1,2,yes,2020-07-04,P,2
124,eTRF,1,2,yes,2020-08-01,D,1
124,eTRF,1,2,yes,2020-07-14,D,1
124,eTRF,1,2,yes,2020-07-03,M,1
124,eTRF,1,2,yes,2020-08-02,D,1
124,eTRF,1,2,yes,2020-07-27,D,1
124,eTRF,1,2,yes,2020-07-26,D,1
124,eTRF,1,2,yes,2020-07-05,E,3
124,eTRF,1,2,yes,2020-07-31,D,1
124,eTRF,1,2,yes,2020-07-28,P,2
124,eTRF,1,2,yes,2020-08-04,E,3
124,eTRF,1,2,yes,2020-08-03,P,2
124,eTRF,1,2,yes,2020-07-07,P,2
124,eTRF,1,2,yes,2020-07-15,P,2
124,eTRF,1,2,yes,2020-07-29,E,3
124,eTRF,1,2,yes,2020-08-05,E,3
124,eTRF,1,2,yes,2020-07-30,D,1
124,eTRF,1,2,yes,2020-07-25,E,3
124,eTRF,1,2,yes,2020-07-20,E,3
125,eTRF,1,2,no,2020-07-08,D,1
125,eTRF,1,2,no,2020-08-02,D,1
125,eTRF,1,2,no,2020-07-15,D,1
125,eTRF,1,2,no,2020-07-22,M,1
125,eTRF,1,2,no,2020-07-27,D,1
125,eTRF,1,2,no,2020-07-30,E,3
125,eTRF,1,2,no,2020-08-09,D,1
125,eTRF,1,2,no,2020-08-03,P,2
125,eTRF,1,2,no,2020-07-02,E,3
125,eTRF,1,2,no,2020-07-25,E,3
125,eTRF,1,2,no,2020-07-14,M,1
125,eTRF,1,2,no,2020-08-10,P,2
125,eTRF,1,2,no,2020-07-01,E,3
125,eTRF,1,2,no,2020-08-04,E,3
125,eTRF,1,2,no,2020-07-21,E,3
125,eTRF,1,2,no,2020-08-08,D,1
125,eTRF,1,2,no,2020-08-06,M,1
125,eTRF,1,2,no,2020-07-07,D,1
125,eTRF,1,2,no,2020-07-24,P,2
125,eTRF,1,2,no,2020-07-18,D,1
125,eTRF,1,2,no,2020-08-01,D,1
125,eTRF,1,2,no,2020-07-19,P,2
