food.consumed,kcals.consumed,day,ID,treatment,food.cumulative,pregnancy,gest.day,cohort
2.3000000000000114,6.693000000000033,9,143,AL,49.76100000000024,1,-4,2
4.199999999999989,12.221999999999968,9,123,AL,61.69199999999981,1,-5,2
2,5.82,9,128,AL,71.87700000000022,1,-3,2
1.4500000000000028,4.219500000000009,9,146,AL,76.96950000000018,1,-1,2
4.850000000000023,14.113500000000068,9,2321,eTRF,258.4080000000001,1,-1,3
1.0999999999999943,3.2009999999999836,9,2323,AL,174.01800000000011,1,-2,3
4.899999999999977,14.258999999999935,9,2324,eTRF,146.37300000000005,1,-6,3
2.6500000000000057,7.711500000000017,9,2335,AL,363.6044999999998,1,-3,3
6.199999999999989,18.041999999999966,9,2333,eTRF,299.29350000000005,1,0.5,3
8.299999999999955,24.152999999999867,9,2334,eTRF,220.5779999999999,1,-5,3
2.5,7.275,9,2337,AL,104.46899999999994,1,0.5,3
2.0999999999999943,6.110999999999984,9,2340,AL,84.39000000000026,1,-6,3
1.5999999999999943,4.655999999999984,10,7827,AL,37.82999999999988,1,1,1
1.3000000000000114,3.7830000000000332,10,7830,AL,48.888000000000204,1,2,1
1.8000000000000114,5.238000000000033,10,7829,AL,58.05449999999997,1,2,1
4.099999999999994,11.930999999999983,10,7864,eTRF,120.47399999999993,1,2,1
3.8000000000000114,11.058000000000034,10,7826,eTRF,130.51350000000008,1,2,1
4.699999999999989,13.676999999999968,10,7835,eTRF,111.74400000000003,1,-6,1
3.6999999999999886,10.766999999999967,10,7833,eTRF,103.59599999999986,1,-3,1
1.5,4.365,10,7863,AL,48.1605000000002,2,-10,1
1.6999999999999886,4.946999999999967,10,7843,AL,63.29250000000021,2,-8,1
1.6999999999999886,4.946999999999967,10,7834,AL,NA,2,-12,1
5.700000000000003,16.58700000000001,10,7862,eTRF,130.368,2,-8,1
3.8500000000000085,11.203500000000025,10,7822,eTRF,139.24350000000004,2,-10,1
4.599999999999994,13.385999999999983,10,7841,eTRF,141.1350000000001,2,-7,1
4.75,13.822500000000002,10,7838,eTRF,160.34099999999992,2,-14,1
5.1499999999999915,14.986499999999976,10,119,eTRF,126.73050000000005,1,-2,2
3.4000000000000057,9.894000000000018,10,118,eTRF,-435.33599999999996,1,-5,2
4.400000000000034,12.8040000000001,10,124,eTRF,169.65300000000013,1,1,2
4.349999999999994,12.658499999999984,10,134,eTRF,113.34449999999997,1,-3,2
1.9000000000000057,5.529000000000017,10,143,AL,55.290000000000255,1,-3,2
1.3000000000000114,3.7830000000000332,10,123,AL,65.47499999999984,1,-4,2
2.1000000000000227,6.111000000000066,10,128,AL,77.98800000000028,1,-2,2
1.75,5.0925,10,146,AL,82.06200000000018,1,0,2
4.700000000000003,13.677000000000008,10,2321,eTRF,272.08500000000004,1,0.5,3
1.1500000000000057,3.3465000000000167,10,2323,AL,177.36450000000013,1,-1,3
4.900000000000006,14.259000000000018,10,2324,eTRF,160.63200000000006,1,-5,3
3.6999999999999886,10.766999999999967,10,2335,AL,374.37149999999974,1,-2,3
6.400000000000034,18.624000000000102,10,2333,eTRF,317.9175000000002,1,1,3
